society_id,society_name,ethnic_group,region,chapter,subsistence_type,institution_type,documentation_quality,source_ethnographers,source_book,EA072_clubs_associations,dplace_matched,notes,C01_transformation_symbolism,C01_transformation_symbolism_numeric,C01_transformation_symbolism_evidence,C02_feasting,C02_feasting_numeric,C02_feasting_evidence,C03_exotic_prestige_materials,C03_exotic_prestige_materials_numeric,C03_exotic_prestige_materials_evidence,C04_spatial_liminality,C04_spatial_liminality_numeric,C04_spatial_liminality_evidence,C05_long_duration_institutional,C05_long_duration_institutional_numeric,C05_long_duration_institutional_evidence,C06_burial_absence,C06_burial_absence_numeric,C06_burial_absence_evidence,C07_special_structure,C07_special_structure_numeric,C07_special_structure_evidence,C08_remote_locations,C08_remote_locations_numeric,C08_remote_locations_evidence,C09_ritual_paraphernalia_cache,C09_ritual_paraphernalia_cache_numeric,C09_ritual_paraphernalia_cache_evidence,C10_power_animal_iconography,C10_power_animal_iconography_numeric,C10_power_animal_iconography_evidence,C11_interaction_sphere,C11_interaction_sphere_numeric,C11_interaction_sphere_evidence,criteria_met
H18_011,Hamatsa Society,Kwakwakawakw,California,3,complex hunter-gatherer,secret society,rich,"Boas, Drucker, Spradley",Hayden 2018,,False,"Ranked initiatory society with elaborate costumes, spirit possession, and regional recruitment for winter ceremonies lasting two to three weeks.",present,2,"Masks, costumes, therianthropic transformation; wolf impersonators, raven/eagle spirits, Hamatsa cannibalistic possession documented",present,2,Feasts in dance houses noted; Hamatsa initiations drew members for two-three weeks of winter ceremonies and feasting,present,2,Crystals mentioned (marshals removing crystals); copper masks acquired via war; regalia obtained as marriage dowry,present,2,"Cave of Animals used for ceremonies; initiates secluded in caves, forest edges, waterfall ledges, cliff bases",present,2,Hereditary roles in societies; meeting place used over generations for Ame'lk performance; hereditary membership prerequisites,partial,1,Sisaok leader buried in community cemetery 50-100m behind houses; shamans buried in caves but unclear if society members,partial,1,Dance houses mentioned but unclear if pre-contact; specialized ceremonial structures developed after 1890; large residential houses used,present,2,"Initiates secluded in woods 400m+ from village; caves, shelters in forest; Kwakwakawakw seclusion one-two months",present,2,Cave of Animals stored secret society masks; ritual paraphernalia stored in hollow cedar trees and caves far from habitation,present,2,"Bears, wolves, thunderbirds, killer whales, sea monsters, ravens, eagles depicted; Sisiutl sea monster; grizzly bears feared Hamatsa helpers",present,2,Hamatsa initiations drew members from across Kwakwakawakw nation; inter-village/inter-tribal regional networks explicitly documented,11
H18_012,Seals and Que'qutsa divisions,Kwakwakawakw,California,3,complex hunter-gatherer,secret society,rich,"Boas, Drucker",Hayden 2018,,False,"Two basic secret society divisions with fifty-three different dances, featuring animal spirit patrons including bears, wolves, eagles, and killer whales.",present,2,"Masks, costumes, animal personas (bears, wolves) adopted; transformation between human and spirit animal central to ceremonies.",present,2,Feasts reported in 'dance house'; lavish payments at initiations; winter ceremonials involve large-scale feasting.,partial,1,Crystals mentioned (marshals removing crystals); copper and regalia acquired via marriage dowry; masks traded/acquired by war.,present,2,"Caves, waterfall ledges, forest clearings, cliff bases used; cave of animals at water margin used for ceremonies.",present,2,Meeting place used over generations for special performance (Ame'lk); hereditary roles in societies passed across generations.,present,2,Bodies buried in community cemetery 50-100m behind houses; ritual sites separate from burial locations.,partial,1,Dance houses mentioned but unclear if pre-contact; large residential structures temporarily transformed for ritual use.,present,2,Initiates secluded in caves/shelters 400m+ from villages; Cave of Animals used for initiations and storage of masks.,present,2,Cave of Animals stored secret society masks; ritual paraphernalia stored in hollow cedar trees far from habitation.,present,2,"Que'qutsa division: wolves, thunderbirds, killer whales, bears, sea monsters, ravens; threatening/carnivorous animals dominant.",present,2,Hamatsa initiations drew members from across Kwakwakawakw nation; inter-village/inter-tribal marshals cooperated; regional networks explicit.,11
H18_013,Wolf Society,Nuuchahnulth,California,3,complex hunter-gatherer,secret society,rich,"Boas, Ernst, Sproat",Hayden 2018,,False,Elite society with hereditary positions including wolf impersonators; annual regional meetings drew up to seventy members from multiple villages.,present,2,"Wolf dance performances, wolf/bear/eagle animal patrons, transformation into power animals during ceremonies",present,2,28-day initiation with 'endless feasting'; visitors feasted daily during Nuuchahnulth winter ceremonies,unclear,-1,Text mentions crystals removed from initiates but no explicit aggregation of exotic materials at ritual loci,unclear,-1,No specific mention of liminal site locations for Wolf Society; ceremonies held at elite member's house,present,2,Annual regional meetings rotated among elite members' houses; hereditary membership prerequisites mentioned,unclear,-1,No information about mortuary practices relative to ritual sites in text,partial,1,Ceremonies held at elite member's house; no distinct purpose-built ceremonial structure explicitly mentioned for Wolf Society,unclear,-1,No specific mention of remote seclusion locations for Wolf Society initiates,present,2,Secret society knowledge strictly guarded; revealing secrets could result in punishing raids from other villages,present,2,"Nuuchahnulth animal patrons included bears, wolves, eagles, whales; threatening dominating animals, not prey species",present,2,Up to 70 members attended from American villages and Vancouver Island; regional annual meeting explicitly described,7
H18_014,Kusiut and Sisaok Societies,Bella Coola,California,3,complex hunter-gatherer,secret society,rich,McIlwraith,Hayden 2018,,False,"Two distinct societies with recognized marshals, spirit possession, ranked positions, and inter-village cooperation in maintaining supernatural fictions.",present,2,"Bear, wolf, eagle spirit possessions; cannibalistic transformations; spirit patrons characterize society dances among Bella Coola.",present,2,"Feasts opened winter season, given after all Kusiut performances, at initiation culmination; best food always provided.",partial,1,"Crystals mentioned as shot into initiates and removed by marshals; regalia acquired via marriage dowry, but limited detail.",unclear,-1,No specific mention of liminal site locations for Kusiut/Sisaok ritual spaces in the text.,present,2,"Hereditary positions, repeated initiations across generations, annual winter ceremonials; marshals maintained multi-village policing across generations.",unclear,-1,Cave burials mentioned generally for Northwest Coast; no specific Kusiut/Sisaok burial location data provided.,partial,1,"Dance house referenced for performances; candidate's family house used for feasts, but dedicated ceremonial structure not explicitly described.",partial,1,"Chiefs' sons underwent repeated seclusions; novices went on spirit quests, but specific remote locations not detailed for Bella Coola.",present,2,Secret society knowledge strictly guarded; revealing secrets punishable by raids; marshals policed supernatural fictions from non-initiates.,present,2,"Bear, wolf, eagle as most powerful animals, hungering for human flesh; imaginary sea monsters like Sisiutl featured in iconography.",present,2,Invitations sent to Nass River and Alert Bay; Kusiut members accepted across villages; inter-tribal marshal cooperation explicitly stated.,9
H18_015,Tsimshian secret societies,Tsimshian,California,3,complex hunter-gatherer,secret society,moderate,"Drucker, Halpin",Hayden 2018,,False,Three exclusive societies with hereditary membership requirements; initiation involved seclusion in caves or remote huts for one to two months.,present,2,"Masks, costumes, animal personas (bears, wolves, ravens) used in transformation rituals; wolf impersonators, cannibal spirit possession documented.",present,2,Initiation feasts and winter ceremonial feasts documented; feasting in dance houses and potlatch houses mentioned.,partial,1,Crystals mentioned (marshals removing crystals); copper implied via prestige regalia; explicit aggregation at restricted loci not fully described.,present,2,"Secret meeting places at waterfalls, cliff bases, caves, forest edges; Rose Island outside Port Simpson used by secret societies.",present,2,,partial,1,Sisaok leader buried in community cemetery behind houses; some shamans buried in caves; no burials at main ritual sites described.,partial,1,Dance houses mentioned but unclear if pre-contact; large residential structures adapted for ceremonies; no distinct special structures confirmed archaeologically for Tsimshian.,present,2,Tsimshian initiates secluded 4-12 days in huts or caves in bush; initiates into Shamans' dance sequestered in cave surrounded by corpses.,present,2,"Ritual paraphernalia stored in hollow cedar trees, caves (Cave of Animals), locations far from habitation; masks cached at remote sites.",present,2,"Bears, wolves, eagles, sea monsters, thunderbirds, killer whales depicted as threatening power animals; imaginary creatures like Sisiutl prominent in iconography.",present,2,Regional networks documented; Tsimshian invitations sent to Nass River and Alert Bay; society membership crossing tribal lines; shared iconographic motifs across Northwest Coast.,11
H18_016,Tlingit secret societies,Tlingit,California,3,complex hunter-gatherer,secret society,moderate,"Emmons, Loeb, de Laguna",Hayden 2018,,False,Dances were clan prerogatives; societies cut across lineage lines and represented organized activities distinct from kinship groups.,present,2,"Wolf impersonators, bear/raven/eagle spirit personas adopted by members; masks used in ceremonies",present,2,Feasts associated with initiations and winter ceremonies; large-scale potlatch feasting documented,partial,1,Crystals mentioned (marshals removing crystals); copper and shells implied in regalia but not detailed for Tlingit specifically,present,2,"Bath houses adjacent to high-ranking households; waterfall ledges, caves, forest edges used for ritual gatherings",present,2,Hereditary roles in societies; meeting places used over generations; dances clan prerogatives passed through families,partial,1,"Secret society leader buried in community cemetery behind houses; some shamans buried in caves, uncertain if society members",partial,1,"Tlingit had special bath houses near elite households; specialized ceremonial structures developed post-1890, unclear for earlier periods",present,2,"Initiates secluded in woods, caves, remote shelters; vision quests by elites at remote locations",present,2,"Ritual paraphernalia stored in hollow cedar trees, caves, secret locations far from habitation; Cave of Animals stored masks",present,2,"Bears, wolves, eagles, ravens, sea monsters, thunderbirds used as power animals in threatening/dominating poses",present,2,Tlingit dances cross lineage lines; regional networks documented; society membership accepted across villages and tribes,11
H18_017,Haida secret societies,Haida,California,3,complex hunter-gatherer,secret society,thin,Curtis,Hayden 2018,,False,Young children initiated for eight to eleven days behind curtain with death and spirit encounter elements.,present,2,"Masks, costumes, wolf impersonators, animal personae adopted; war waged to acquire secret society mask",present,2,"Lavish public feasts after initiation, nightly feasting, 28-day ceremonies with 'endless feasting' described",partial,1,Crystals mentioned (marshals removing crystals); copper and shells implied in regalia but not explicitly detailed,present,2,"Cave sites, waterfall ledges, forest edges, rock shelters used; locations at threshold between categories",present,2,"Hereditary roles, meeting places used over generations, multi-generational initiation sequences for chiefs' sons",present,2,"Secret society leaders buried in community cemetery 50-100m behind houses, not at ritual sites",present,2,Large dance house structures mentioned; temporarily transformed residential structures used for public displays,present,2,"Initiates secluded 400m+ from village; cave sites, forest locations, remote ledges used for initiation seclusion",present,2,Ritual paraphernalia stored in hollow cedar trees and caves 'far from human habitation'; kept secret from non-initiates,present,2,"Bears, wolves, thunderbirds, sea monsters, killer whales, eagles depicted in threatening, dominating poses; imaginary creatures",present,2,Hamatsa initiations drew members from across Kwakwakawakw nation; Wolf Society regional meetings; inter-village and inter-tribal networks documented,11
H18_018,Coast Salish initiatory societies,Coast Salish,California,3,complex hunter-gatherer,initiatory society,thin,Boas,Hayden 2018,,False,Adolescents underwent initiation involving five-day feasts; guardian spirit quests recorded as rock art.,present,2,"Wolf impersonators, masks, raven/eagle spirits, therianthropic transformations described in initiation contexts",present,2,Coast Salish initiations involved five-day feast; lavish public feasts after Hamatsa initiation; nightly feasting during winter ceremonials,partial,1,Crystals mentioned as shot into initiates/removed by marshals; copper and shells implied via regional prestige networks,present,2,"Secret meeting places at waterfalls, cliff ledges, caves, forest edges; locations described as supernatural thresholds",present,2,Meeting places used over generations; hereditary roles in societies; multi-generational initiation sequences described,present,2,"Secret society leaders buried in community cemetery behind houses, not at ritual sites; body taken separately",present,2,Large dance house structures mentioned; temporarily transformed residential structures used for public displays,present,2,"Initiates secluded 400+ meters from village; caves, remote shelters, forest locations used for seclusion",present,2,Ritual paraphernalia stored in hollow cedar trees and caves far from habitation; kept secret from non-initiates,present,2,"Bears, wolves, eagles, killer whales, thunderbirds, sea monsters depicted as threatening power animals in iconography",present,2,Regional networks explicit; members from different tribes; Kusiut invitations sent to Nass River and Alert Bay,11
H18_019,Chinookan secret societies,Chinookan,California,3,complex hunter-gatherer,secret society,thin,Ray,Hayden 2018,,False,Spirit quest-based societies with black bears and cougars as primary patron animals; small percentage of population were members.,present,2,"Wolf impersonators, masks, bear/cougar guardian spirits, transformation into animals documented for Chinookan societies",present,2,"Lavish public feasts after initiation, nightly feasting, endless feasting during 28-day ceremonies documented",partial,1,Crystals mentioned (marshals removing crystals from initiates); ritual regalia acquired via marriage dowry; limited direct evidence,present,2,"Secret meeting places at waterfalls, cliff bases, caves, forest edges; deliberate use of liminal natural features",present,2,Meeting places used over generations; hereditary roles in societies; multi-generational institutional structure documented,present,2,Sisaok leader buried in community cemetery behind houses; secret society ritual sites separate from burial locations,partial,1,Dance houses and potlatch houses used; some locations were clearings with no structures; temporarily transformed residential structures,present,2,Initiate shelter 400+ meters from village; remote locations for vision quests; isolated camps for seclusion documented,present,2,Ritual paraphernalia stored in hollow cedar trees and caves far from habitation; secret locations for caching objects documented,present,2,Chinookan novices acquired black bears and cougars as guardian spirits; carnivores and raptors dominate iconography,present,2,Hamatsa initiations drew members from across Kwakwakawakw nation; Chinookan society embedded in Northwest Coast regional networks,11
H18_020,Kuksu Cult,Patwin,California,3,horticultural,secret society,rich,"Kroeber, Loeb, Barrett",Hayden 2018,,False,"Complex ranked society with elaborate costuming, spirit impersonation, earth-covered dance houses, and multiple internal ranks requiring payments.",present,2,"Elaborate costumes, body painting, plumed headdresses used to impersonate spirits; bear costumes for were-bears; masked doctor god.",present,2,Societies exacted goods for ceremonial feasts like first fruits ceremonies; inter-community feasts documented.,present,2,"Paraphernalia included shells, crystals, obsidian blades, beads used in ritual contexts; costly feathered capes as regalia.",present,2,Semi-subterranean earth-covered dance houses; some ritual structures 100-300 meters from village; caves and mountain tops used for rituals.,present,2,Hereditary roles common; positions frequently hereditary; Kuksu developed in Patwin area over thousands of years.,unclear,-1,Little information on burial of secret society members; only references to cremation and elaborate mourning rituals mentioned.,present,2,Semi-subterranean earth-covered dance houses standard ritual structure; separate from residential architecture; Patwin floor plan described.,present,2,Separate locations c.200-300 meters from village for initiations with ritual structures; mountaintops and caves used for initiations and rituals.,present,2,"Mountain tops, caves, rock shelters used for storing ritual paraphernalia; fetish bundles, bullroarers kept secret from non-initiates.",present,2,Bear ceremonialism prominent; bear impersonators killing at whim; snake ceremonies; power animals especially bear cited as common.,present,2,Kuksu described as open system exchanging traits with neighbors; inter-tribal cooperation documented; traits shared across ethnic/linguistic groups.,10
